Id,SalePrice
1461,125740.08
1462,154931.66666666666
1463,177218.61333333334
1464,183615.46666666667
1465,200768.45666666667
1466,190876.76666666666
1467,169923.89333333334
1468,177842.93
1469,189606.60666666666
1470,116686.3
1471,193251.60666666666
1472,96424.66666666667
1473,92969.5
1474,148084.83333333334
1475,146694.43
1476,437329.13666666666
1477,253382.46666666667
1478,314052.62666666665
1479,288432.88
1480,444766.80333333334
1481,315922.76
1482,214310.83
1483,167779.18
1484,163800.9
1485,174712.23
1486,197448.08333333334
1487,346103.87666666665
1488,260465.6
1489,211073.42666666667
1490,189816.60333333333
1491,195752.41666666666
1492,91813.78666666667
1493,195577.66
1494,298547.7
1495,282492.87
1496,206770.64666666667
1497,161997.67666666667
1498,153631.38
1499,152453.28333333333
1500,144412.66333333333
1501,171368.26333333334
1502,152784.25666666665
1503,250433.27666666667
1504,236804.36
1505,212727.58666666667
1506,175796.85666666666
1507,204700.93
1508,202825.94
1509,159141.80666666667
1510,146857.37
1511,143749.54
1512,156108.88
1513,165193.98
1514,153517.83333333334
1515,166045.88333333333
1516,152432.26333333334
1517,154772.77333333335
1518,131742.72
1519,217473.71666666667
1520,135527.41666666666
1521,140154.89666666667
1522,158729.03333333333
1523,119989.21333333333
1524,130543.57666666666
1525,121819.11666666667
1526,127959.26666666666
1527,102498.67666666667
1528,130893.44
1529,141761.99666666667
1530,167683.98333333334
1531,131478.8
1532,103551.35333333333
1533,140254.95666666667
1534,118450.12
1535,146558.85666666666
1536,112722.34333333334
1537,63859.60333333333
1538,202086.95
1539,252102.64666666667
1540,109908.17666666667
1541,146713.21
1542,141187.20333333334
1543,201823.35333333333
1544,78184.71666666666
1545,96638.36666666667
1546,118066.84333333334
1547,132310.80666666667
1548,132181.84666666668
1549,100589.70333333334
1550,131891.20333333334
1551,108671.83333333333
1552,151648.63666666666
1553,163985.15333333332
1554,118737.67666666667
1555,161919.47
1556,94523.87333333334
1557,100262.39
1558,85250.55
1559,128556.40666666666
1560,136996.25666666665
1561,127265.15333333334
1562,127661.24666666667
1563,124969.16333333333
1564,152508.71333333335
1565,154370.47666666665
1566,239646.01
1567,70262.87333333334
1568,220899.46666666667
1569,140638.13333333333
1570,137074.91666666666
1571,138703.37
1572,141550.20666666667
1573,229919.88333333333
1574,106665.58333333333
1575,203071.74666666667
1576,207690.92666666667
1577,200499.79
1578,144530.87333333332
1579,133952.33333333334
