Id,SalePrice
1461,126077.88
1462,156316.64
1463,177397.92
1464,186670.23
1465,211168.33
1466,189644.55
1467,169579.28
1468,170646.03
1469,187272.17
1470,118946.84
1471,199277.19
1472,108779.44
1473,93793.73
1474,148547.14
1475,145398.48
1476,468857.28
1477,281319.84
1478,315514.72
1479,296057.62
1480,492371.06
1481,335735.97
1482,219498.08
1483,171265.44
1484,177759.31
1485,182163.0
1486,198217.5
1487,385733.56
1488,248564.06
1489,214542.22
1490,192166.83
1491,193325.31
1492,88394.83
1493,207192.72
1494,310440.3
1495,271598.4
1496,209578.97
1497,172141.11
1498,161066.11
1499,155978.58
1500,135692.97
1501,155539.25
1502,153053.95
1503,271327.66
1504,237742.4
1505,217721.11
1506,174394.03
1507,224898.83
1508,203315.36
1509,152025.16
1510,135114.77
1511,130437.1
1512,157534.8
1513,159223.73
1514,153469.25
1515,204407.5
1516,164517.67
1517,155899.53
1518,132560.66
1519,214939.06
1520,126884.984
1521,130705.266
1522,169273.97
1523,112783.984
1524,132419.56
1525,120773.43
1526,112944.914
1527,102363.29
1528,134278.69
1529,134070.05
1530,174693.67
1531,131708.8
1532,100765.26
1533,137696.45
1534,118590.72
1535,154624.38
1536,114702.734
1537,64337.71
1538,166214.69
1539,231239.4
1540,91019.22
1541,134372.81
1542,136344.73
1543,213994.33
1544,80782.41
1545,98187.86
1546,126708.81
1547,130121.42
1548,134566.1
1549,105127.766
1550,134452.88
1551,112223.88
1552,144011.4
1553,169036.75
1554,115044.71
1555,193540.08
1556,88214.15
1557,97368.65
1558,90987.68
1559,88137.74
1560,134049.77
1561,131640.75
1562,130509.12
1563,122585.44
1564,142953.0
1565,155880.86
1566,235517.53
1567,64090.023
1568,218391.45
1569,141536.31
1570,140784.1
1571,142899.16
1572,145275.5
1573,258342.5
1574,121559.97
1575,195735.27
1576,210554.86
1577,215046.33
1578,142883.78
1579,137497.22
1580,188166.08
1581,154128.06
1582,121800.875
1583,310808.94
1584,239099.77
1585,135776.2
1586,79265.28
1587,110890.97
1588,140560.84
1589,86442.695
1590,136726.02
1591,111237.94
1592,124327.555
1593,116928.16
1594,157595.33
1595,112807.734
1596,238561.06
1597,187564.2
1598,207168.62
1599,202353.4
1600,209711.0
1601,67374.664
1602,118856.125
1603,93508.78
1604,283075.06
1605,240578.88
1606,162678.25
1607,184564.06
1608,213226.98
1609,214006.67
1610,156497.12
1611,151198.95
1612,168404.14
1613,176046.95
1614,121977.34
1615,104105.36
1616,76550.85
1617,91891.63
1618,127485.055
1619,149517.55
1620,161993.8
1621,137482.77
1622,142584.2
1623,277176.9
1624,203044.94
1625,131475.38
1626,158959.66
1627,186670.23
1628,254011.52
1629,190925.52
1630,367560.6
1631,241926.6
1632,269800.53
1633,185631.6
1634,179617.36
